id,lad,population,area_km2,pop_density_km2,lte_4G
DE58,E07000032,1856.0,12.769176259520101,2522.036682143266,1
DE562,E07000032,3987.9999999999995,64.34280742673425,1075.4530417566418,1
DE225,E07000032,409.0,14.563445512444329,487.29895672620313,1
DE64,E07000032,508.00000000000006,26.924807188092625,327.3764380947529,0
DE553,E07000033,1524.9999999999998,1.7843369134491627,23160.86889215824,1
DE552,E07000033,3569.0,6.866448558409471,14085.62888009096,1
NG208,E07000033,4828.0,13.122169442116352,9970.650300768904,1
S434,E07000033,5199.0,15.991911073013664,8810.109694166593,1
NG198,E07000033,5047.0,15.71161737263697,8705.110235685952,1
S804,E07000033,4836.0,17.366158283980287,7546.479586590764,1
DE555,E07000033,3886.0,14.780081687138248,7125.048524675879,1
S446,E07000033,6368.0,35.53650300448486,4856.129176070085,1
S458,E07000033,1643.0000000000002,11.022862263112424,4039.2901197168217,0
S401,E07000034,2111.0,1.1444214228219167,37846.49280327194,1
S404,E07000034,5409.0,3.298213818126345,33648.17857894402,1
S402,E07000034,5775.0,3.589699738646144,33007.85104716327,1
S417,E07000034,3368.0000000000005,2.3174483072781897,29818.47391826727,1
S418,E07000034,5463.0,4.1127766483698265,27253.322859925796,1
S403,E07000034,4204.0,3.4148384493227377,25258.98705426118,1
S431,E07000034,4116.0,6.007563035254534,14057.251514502614,1
S410,E07000034,5986.0,8.797770341739502,13960.066184479887,1
S432,E07000034,3415.0,8.02544863457002,8730.613732917194,1
S433,E07000034,6068.0,17.300710306793516,7196.22980480384,1
S419,E07000034,2824.0,8.823551840352188,6566.661601381377,0
DE43,E07000035,6034.999999999999,10.248847343919877,15241.67070768215,1
DE44,E07000035,3401.0,51.373353172939495,1713.5589241929429,1
S323,E07000035,662.0,10.04968183147879,1705.0456127237521,1
DE45,E07000035,3215.0000000000005,51.31109647235339,1621.8101217977314,1
SK179,E07000035,3642.0,59.99221704784923,1571.358771412291,1
DE61,E07000035,5506.0,95.79324906160625,1487.7557173857417,1
S339,E07000035,745.0,13.279519809936277,1452.1257481927257,1
DE42,E07000035,4348.0,79.09000630832453,1422.9782098484043,1
S324,E07000035,251.99999999999997,5.299705840182741,1230.776231138184,1
S322,E07000035,394.0,8.309135589060029,1227.3564251946716,1
S325,E07000035,561.0,14.69862710021045,987.9077983065738,1
DE451,E07000035,4493.0,128.85269276029047,902.5541017763752,1
S321,E07000035,922.0,29.69804963845818,803.5877668101659,1
SK178,E07000035,2598.0,84.63727193970456,794.5254531665871,0
