,place_name,cordinates,Longitude,Latitude
1325,flosky5,"0.13166329,52.21456146",0.13166329,52.21456146
1326,flosky5,"0.13169709,52.21450424",0.13169709,52.21450424
1327,BTHub6-7QPX,"0.12874156,52.21440506",0.12874156,52.21440506
1328,BTHub6-7QPX,"0.12900633,52.21442795",0.12900633,52.21442795
1329,GL-MT300N-V2-15f,"0.12545361,52.2149353",0.12545361,52.2149353
1330,BK-GUEST,"0.12459746,52.21670532",0.12459746,52.21670532
1331,BK-CERT,"0.12459746,52.21670532",0.12459746,52.21670532
1332,BK-WIFI,"0.12476841,52.21667099",0.12476841,52.21667099
1333,BK-GUEST,"0.12476841,52.21667099",0.12476841,52.21667099
1334,BK-CERT,"0.12476841,52.21667099",0.12476841,52.21667099
1335,VM490001-2G,"0.1280193,52.21344376",0.1280193,52.21344376
1336,(no SSID),"0.13169709,52.21450424",0.13169709,52.21450424
1337,VM2466270,"0.13057302,52.21279907",0.13057302,52.21279907
1338,Salisburyshires ,"0.12874795,52.21349335",0.12874795,52.21349335
1339,Salisburyshires ,"0.12876859,52.21358109",0.12876859,52.21358109
1340,Salisburyshires ,"0.12876859,52.21358109",0.12876859,52.21358109
1341,TP-Link_9B18,"0.12878181,52.21368027",0.12878181,52.21368027
1342,TP-Link_C15A,"0.13103342,52.2128067",0.13103342,52.2128067
1343,VM7421629_EXT1,"0.13059779,52.21279907",0.13059779,52.21279907
1344,VM7421629_EXT2,"0.13030568,52.2128067",0.13030568,52.2128067
1345,Family Law Group,"0.12570158,52.21483612",0.12570158,52.21483612
1346,Family Law Group,"0.12568732,52.21513748",0.12568732,52.21513748
1347,Family Law Group 5G,"0.12568732,52.21513748",0.12568732,52.21513748
1348,DIRECT-93-HP Officejet 5740,"0.12249793,52.21656418",0.12249793,52.21656418
1349,test,"0.13139819,52.21471405",0.13139819,52.21471405
1350,FFFFFF,"0.12306795,52.21675873",0.12306795,52.21675873
1351,NETGEAR56,"0.13059779,52.21279907",0.13059779,52.21279907
1352,PLUSNET-7N6HF3_EXT,"0.12900633,52.21442795",0.12900633,52.21442795
1353,BTHub5-3P57,"0.12800941,52.21451187",0.12800941,52.21451187
1354,BTHub5-3P57,"0.12786864,52.21479797",0.12786864,52.21479797
1355,VM944887-2G,"0.12739936,52.21595383",0.12739936,52.21595383
1356,VM681143-2G,"0.12800001,52.21378708",0.12800001,52.21378708
1357,VM860668-5G,"0.12986559,52.21450424",0.12986559,52.21450424
1358,VM860668-2G,"0.12994426,52.21450424",0.12994426,52.21450424
1359,DIRECT-D3C5B719,"0.1224134,52.21653366",0.1224134,52.21653366
1360,(no SSID),"0.12874795,52.21349335",0.12874795,52.21349335
1361,(no SSID),"0.12876859,52.21358109",0.12876859,52.21358109
1362,VodafoneConnect56600755_5GEXT,"0.13086106,52.21466064",0.13086106,52.21466064
1363,VodafoneConnect56600755_2GEXT,"0.13086106,52.21466064",0.13086106,52.21466064
1364,BTHub5-6PNS,"0.13164842,52.21338272",0.13164842,52.21338272
1365,BTHub5-6PNS,"0.13164072,52.21331406",0.13164072,52.21331406
1366,HP-Print-D7-Officejet Pro 8620,"0.13166329,52.21456146",0.13166329,52.21456146
1367,BTHub6-89CF,"0.13005804,52.21315765",0.13005804,52.21315765
1368,BTHub6-7Q89,"0.13019186,52.21362305",0.13019186,52.21362305
1369,BTHub6-7Q89,"0.1302266,52.21379089",0.1302266,52.21379089
1370,NETGEAR55-5G-1,"0.1251623,52.21556473",0.1251623,52.21556473
