msoa,urban_rural,total_prems,total_prems_density_km2,number_of_aps,number_of_aps_density_km2,source,buffer_size,total_prems_density_km2_decile
E02003792,Rural,8534.0,133.1109440256583,6693.0,104.39554117222067,Predictive Model,100,3
E02003792,Rural,5.230769230769231,166.768320226366,6.923076923076923,220.72277677019028,Wardriving,100,2
E02003792,Rural,21.65979381443299,119.82908371943458,4.463917525773196,24.695855902196655,Wardriving,300,3
E02003793,Rural,6865.0,90.90934142213078,5777.0,76.50156815668602,Predictive Model,300,2
E02003793,Rural,6865.0,90.90934142213078,5777.0,76.50156815668602,Predictive Model,100,2
E02003793,Rural,51.65734265734266,605.4335611545066,29.53146853146853,346.1142451273157,Wardriving,200,6
E02003793,Rural,8.819672131147541,281.19036443181955,29.704918032786885,947.0575099450875,Wardriving,100,3
E02003793,Rural,81.37777777777778,517.9793212522211,32.51555555555556,206.96541312295193,Wardriving,300,6
E02003793,Rural,6865.0,90.90934142213078,4145.0,54.88990825851887,Predictive Model,200,2
E02004134,Rural,11244.0,106.78808325595628,4510.0,42.833000309886415,Predictive Model,300,2
E02004134,Rural,19.5,95.64653660042107,1.5454545454545454,7.580378192107964,Wardriving,300,3
E02004134,Rural,11244.0,106.78808325595628,8890.0,84.43134650884484,Predictive Model,100,2
E02004134,Rural,11244.0,106.78808325595628,5605.0,53.23258685962602,Predictive Model,200,2
E02004134,Rural,13.909090909090908,110.86303105958255,1.5454545454545454,12.318114562175838,Wardriving,200,4
E02004142,Rural,5995.0,149.97040311999785,3032.0,75.84825058546014,Predictive Model,200,3
E02004142,Rural,13.961538461538462,68.48065638254963,2.230769230769231,10.941812865531343,Wardriving,300,2
E02004142,Rural,5995.0,149.97040311999785,5428.0,135.78638000589632,Predictive Model,300,3
E02004142,Rural,9.461538461538462,75.41361539648614,1.9230769230769231,15.327970609041897,Wardriving,200,3
E02004142,Rural,5995.0,149.97040311999785,3631.0,90.83278294056917,Predictive Model,100,3
E02004163,Suburban,6513.0,1352.7552826866486,3176.0,659.6577272858584,Predictive Model,200,7
E02004163,Suburban,6513.0,1352.7552826866486,3017.0,626.6333007624165,Predictive Model,100,7
E02004163,Suburban,7.0,55.79381301691368,4.0,31.882178866807816,Wardriving,200,3
E02004163,Suburban,41.0,201.1029743906313,4.0,19.619802379573784,Wardriving,300,4
E02004163,Suburban,6513.0,1352.7552826866486,3176.0,659.6577272858584,Predictive Model,300,7
E02004164,Rural,11992.0,57.70729542378349,5934.0,28.55529445002762,Predictive Model,200,1
E02004164,Rural,11992.0,57.70729542378349,4705.0,22.641162855979097,Predictive Model,300,1
E02004164,Rural,8.0,63.76435773361771,2.0,15.941089433404427,Wardriving,200,3
E02004164,Rural,16.0,78.47920951829194,2.0,9.809901189786492,Wardriving,300,3
E02004164,Rural,11992.0,57.70729542378349,5934.0,28.55529445002762,Predictive Model,100,1
E02004166,Rural,8863.0,107.18266808691325,3668.0,44.35812101351662,Predictive Model,200,2
E02004166,Rural,2.2857142857142856,18.218387923890425,1.5714285714285714,12.52514169767467,Wardriving,200,1
E02004166,Rural,8863.0,107.18266808691325,3668.0,44.35812101351662,Predictive Model,100,2
E02004166,Rural,6.142857142857143,30.13041079720225,1.8571428571428572,9.109193961944866,Wardriving,300,2
E02004166,Rural,8863.0,107.18266808691325,4389.0,53.07736999136436,Predictive Model,300,2
E02004169,Rural,7762.0,115.67589897823451,7063.0,105.25880887442288,Predictive Model,300,2
E02004169,Rural,53.285714285714285,424.71616847567566,1.8571428571428572,14.80244018816028,Wardriving,200,5
E02004169,Rural,7762.0,115.67589897823451,7063.0,105.25880887442288,Predictive Model,100,2
E02004169,Rural,7762.0,115.67589897823451,7063.0,105.25880887442288,Predictive Model,200,2
